_id,deviceId,ts,sampleCount,temp.avg,temp.min,temp.max,temp.last,humidity.avg,humidity.min,humidity.max,humidity.last,sound.avg,sound.max,sound.last,sound.event,comfort.avg,comfort.last,motion.samplesActive,motion.durationMs,light.avg,light.last,soundHist.QUIET,soundHist.LIGHT_ACTIVITY,soundHist.RESTLESS,soundHist.CRYING,lastRaw.temperature,lastRaw.humidity,lastRaw.sound_level,lastRaw.sound_event,lastRaw.motion,lastRaw.motion_duration,lastRaw.light,lastRaw.comfort
69eaffe9899ce378bc9d3f47,ESP32_GREENHOUSE_01,2026-04-24T05:30:17.789Z,14,30.62,30,30.9,30,66,66,66,66,62.6,122,55,CRYING,57.9,60,0,0,443.8,445,0,0,0,9,30,66,55,Light Activity,0,0,445,60
69eb0007899ce378bc9d3f52,ESP32_GREENHOUSE_01,2026-04-24T05:30:47.803Z,15,30.36,30,30.9,30.4,66,66,66,66,91.3,566,25,Quiet,57.5,60,0,0,446.3,448,0,0,0,3,30.4,66,25,Quiet,0,0,448,60
69eb0025899ce378bc9d3f56,ESP32_GREENHOUSE_01,2026-04-24T05:31:17.816Z,15,30.38,30,30.9,30.9,66,66,66,66,64.1,241,100,Quiet,58.4,56,0,0,449.8,451,0,0,0,6,30.9,66,100,CRYING,0,0,451,56
69eb0043899ce378bc9d3f57,ESP32_GREENHOUSE_01,2026-04-24T05:31:47.827Z,15,30.31,30,30.7,30.3,66,66,66,66,165.3,342,295,CRYING,54.7,50,0,0,452.5,452,0,0,0,15,30.3,66,295,CRYING,0,0,452,50
69eb0061899ce378bc9d3f58,ESP32_GREENHOUSE_01,2026-04-24T05:32:17.835Z,15,30.64,30,30.9,30.9,66,66,66,66,116.7,230,170,CRYING,55.6,53,0,0,453.6,454,0,0,0,15,30.9,66,170,CRYING,0,0,454,53
69eb007f899ce378bc9d3f59,ESP32_GREENHOUSE_01,2026-04-24T05:32:47.842Z,15,30.49,30.1,30.9,30.5,66,66,66,66,80.3,168,18,CRYING,57.5,60,0,0,454.6,455,0,0,0,15,30.5,66,18,CRYING,0,0,455,60
69eb009d899ce378bc9d3f5b,ESP32_GREENHOUSE_01,2026-04-24T05:33:17.857Z,15,30.58,30.1,30.9,30.9,66,66,66,66,21.7,30,30,Quiet,59.5,58,0,0,455.5,456,0,0,0,5,30.9,66,30,Quiet,0,0,456,58
69eb00bb899ce378bc9d3f5e,ESP32_GREENHOUSE_01,2026-04-24T05:33:47.857Z,15,30.49,30,30.9,30.5,66,66,66,66,37.1,212,29,Quiet,59.1,59,0,0,456.4,457,0,0,0,0,30.5,66,29,Quiet,0,0,457,59
69eb00d9899ce378bc9d3f64,ESP32_GREENHOUSE_01,2026-04-24T05:34:17.864Z,15,30.31,30,30.9,30.4,66,66,66,66,52.8,218,78,Quiet,59.1,58,0,0,457.5,458,0,0,0,0,30.4,66,78,Restless,0,0,458,58
69eb00f7899ce378bc9d3f69,ESP32_GREENHOUSE_01,2026-04-24T05:34:47.872Z,14,30.53,30,30.9,30.8,66,66,66,66,38.4,85,20,Quiet,59.1,59,0,0,457.9,458,0,0,0,0,30.8,66,20,Quiet,0,0,458,59
