_id,deviceId,ts,hour,minute,sound.avg,sound.max,sound.last,sound_range,sound_stability,soundHist.QUIET,soundHist.LIGHT_ACTIVITY,soundHist.RESTLESS,soundHist.CRYING,hist_total,hist_quiet_ratio,hist_la_ratio,hist_rest_ratio,hist_cry_ratio,temp.avg,temp.min,temp.max,humidity.avg,humidity.min,humidity.max,light.avg,light.last,comfort.avg,comfort.last,comfort_computed,motion.samplesActive,motion.durationMs,motion_active_ratio,motion_active,hour_sin,hour_cos,sampleCount,sound.event,label_encoded
synthetic_002401,ESP32_GREENHOUSE_01,2026-04-01 20:00:00+00:00,20,0,57.0,142.7,55.5,85.69999999999999,0.39665970772442594,13,0,1,1,15,0.8125,0.0,0.0625,0.0625,31.7,31.5,32.3,53.79,52.7,55.4,145.8,141.3,62.8,64.9,62.6,1,237,0.0625,1,-0.8660254037844386,0.5000000000000001,15,QUIET,0
synthetic_002208,ESP32_GREENHOUSE_01,2026-04-01 18:23:30+00:00,18,23,44.8,53.1,52.8,8.300000000000004,0.8280961182994454,7,6,1,1,15,0.4375,0.375,0.0625,0.0625,32.02,31.9,32.5,55.08,53.1,55.2,298.2,297.5,60.9,61.5,61.4,1,154,0.0625,1,-1.0,-1.8369701987210297e-16,15,QUIET,0
synthetic_005727,ESP32_GREENHOUSE_01,2026-04-02 23:43:00+00:00,23,43,84.0,681.8,40.7,597.8,0.12302284710017576,2,2,9,2,15,0.125,0.125,0.5625,0.125,31.22,31.1,31.6,60.42,59.7,60.5,34.5,15.3,53.3,54.7,58.8,2,7304,0.125,1,-0.25881904510252157,0.9659258262890681,15,LIGHT_ACTIVITY,1
synthetic_005608,ESP32_GREENHOUSE_01,2026-04-02 22:43:30+00:00,22,43,122.9,465.8,79.1,342.9,0.26328191945158524,1,0,3,11,15,0.0625,0.0,0.1875,0.6875,30.79,30.6,31.2,57.86,57.5,58.3,72.3,75.4,60.7,61.2,60.1,3,4810,0.2,1,-0.5000000000000004,0.8660254037844384,14,RESTLESS,2
synthetic_008590,ESP32_GREENHOUSE_01,2026-04-03 23:34:30+00:00,23,34,292.6,727.1,316.3,434.5,0.4018678752918555,2,1,10,2,15,0.125,0.0625,0.625,0.125,31.26,30.7,31.4,52.62,51.3,54.4,78.8,81.7,56.6,52.7,55.4,2,624,0.125,1,-0.25881904510252157,0.9659258262890681,15,CRYING,3
synthetic_004211,ESP32_GREENHOUSE_01,2026-04-02 11:05:00+00:00,11,5,127.7,285.4,127.5,157.7,0.44587988826815644,0,0,13,2,15,0.0,0.0,0.8125,0.125,33.46,33.2,33.6,52.39,52.2,53.3,374.6,361.0,61.4,59.1,58.5,1,1303,0.06666666666666667,1,0.258819045102521,-0.9659258262890682,14,LIGHT_ACTIVITY,1
synthetic_007100,ESP32_GREENHOUSE_01,2026-04-03 11:09:30+00:00,11,9,253.7,323.9,382.3,70.19999999999999,0.780855647891659,0,1,14,0,15,0.0,0.0625,0.875,0.0,34.07,33.6,34.5,54.59,53.6,56.5,364.0,364.2,51.2,45.3,52.2,0,2909,0.0,0,0.258819045102521,-0.9659258262890682,14,RESTLESS,2
synthetic_000805,ESP32_GREENHOUSE_01,2026-04-01 06:42:00+00:00,6,42,23.8,131.4,28.9,107.60000000000001,0.1797583081570997,14,0,1,0,15,0.875,0.0,0.0625,0.0,32.88,32.5,33.2,59.55,58.3,59.6,0.0,0.0,60.4,59.4,58.1,0,279,0.0,0,1.0,6.123233995736766e-17,15,QUIET,0
synthetic_009902,ESP32_GREENHOUSE_01,2026-04-04 10:30:30+00:00,10,30,215.6,966.2,323.6,750.6,0.2229114971050455,0,3,1,11,15,0.0,0.1875,0.0625,0.6875,33.0,32.7,33.2,55.41,54.4,57.2,364.1,367.5,53.9,48.1,53.2,2,202,0.13333333333333333,1,0.49999999999999994,-0.8660254037844387,14,CRYING,3
synthetic_001445,ESP32_GREENHOUSE_01,2026-04-01 12:02:00+00:00,12,2,66.1,66.1,49.2,0.0,0.9850968703427719,7,3,3,2,15,0.4375,0.1875,0.1875,0.125,34.17,33.8,34.7,55.7,53.8,56.0,386.9,394.1,58.1,57.9,58.9,0,139,0.0,0,1.2246467991473532e-16,-1.0,14,QUIET,0
